City,Latitude,Longitude,Country
Aberdeen,57.170398,-2.07998702,Scotland
Belfast,54.6000122,-5.96003443,Northern Ireland
Cambridge,52.2003913,0.116623086,England
Cornwall,50.1337215,-5.55003361,England
Cumbria,54.8799951,-2.92998682,England
Derry,55.0003754,-7.33328394,Northern Ireland
Devon,50.7004053,-3.5299502,England
Edinburgh,55.9483279,-3.21909062,Scotland
Glasgow,55.8744047,-4.25070724,Scotland
Highland,56.816478,-5.11207581,Scotland
Kent,51.1337122,1.300013386,England
Manchester,53.5004153,-2.2479871,England
Newport,52.768555,-2.375587,Wales
Nottingham,52.9703443,-1.17001673,England
South Yorkshire,53.3666767,-1.49999658,England
Southampton,50.9000314,-1.39997685,England
Swansea,51.6299868,-3.95000208,Wales
London,51.4999947,-0.11672184,England
York,53.9703866,-1.08002222,England